دست,بازیکن,کارت‌های دست بازیکن,کارت‌های بازی‌شده,خال حکم,کارت بازی‌شده توسط بازیکن,برنده دست
9,3,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,سرباز خشت,2
10,0,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,آس پیک,2
10,1,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,ملکه پیک,2
10,2,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,4 گشنیز,2
10,3,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,3 پیک,2
11,0,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,شاه پیک,2
11,1,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,7 پیک,2
11,2,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,6 پیک,2
11,3,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,6 دل,2
12,0,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,ملکه دل,2
12,1,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,4 پیک,2
12,2,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,10 گشنیز,2
12,3,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,3 خشت,2
13,0,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,شاه خشت,0
13,1,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,9 خشت,0
13,2,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,9 گشنیز,0
13,3,,"6 گشنیز, 2 دل, آس دل, آس گشنیز, 5 پیک, 3 گشنیز, سرباز گشنیز, 8 پیک, 9 پیک, 9 دل, 2 گشنیز, 7 خشت, 4 خشت, 7 گشنیز, ملکه گشنیز, سرباز پیک, 8 خشت, شاه گشنیز, 10 خشت, 8 دل, 5 گشنیز, آس خشت, 10 پیک, ملکه خشت, سرباز دل, 4 دل, 5 خشت, 6 خشت, 3 دل, شاه دل, 10 دل, 5 دل, 8 گشنیز, 2 پیک, 2 خشت, سرباز خشت, آس پیک, ملکه پیک, 4 گشنیز, 3 پیک, شاه پیک, 7 پیک, 6 پیک, 6 دل, ملکه دل, 4 پیک, 10 گشنیز, 3 خشت, شاه خشت, 9 خشت, 9 گشنیز, 7 دل",خشت,7 دل,0
1,0,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,سرباز پیک,0
1,1,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,آس پیک,0
1,2,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,9 پیک,0
1,3,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,ملکه پیک,0
2,0,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,2 گشنیز,1
2,1,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,4 خشت,1
2,2,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,7 گشنیز,1
2,3,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,5 خشت,1
3,0,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,8 پیک,0
3,1,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,2 پیک,0
3,2,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,3 گشنیز,0
3,3,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,4 دل,0
4,0,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,6 گشنیز,2
4,1,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,10 خشت,2
4,2,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,آس دل,2
4,3,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,4 گشنیز,2
5,0,,"سرباز پیک, آس پیک, 9 پیک, ملکه پیک, 2 گشنیز, 4 خشت, 7 گشنیز, 5 خشت, 8 پیک, 2 پیک, 3 گشنیز, 4 دل, 6 گشنیز, 10 خشت, آس دل, 4 گشنیز, 10 گشنیز, 3 پیک, 8 دل, سرباز دل, 4 پیک, 3 خشت, 7 خشت, 9 خشت, سرباز گشنیز, ملکه خشت, شاه دل, 7 دل, 10 دل, شاه پیک, سرباز خشت, 8 خشت, 8 گشنیز, 5 گشنیز, 6 خشت, ملکه گشنیز, 10 پیک, 7 پیک, 6 دل, 5 پیک, شاه خشت, شاه گشنیز, 5 دل, ملکه دل, 9 گشنیز, آس گشنیز, 2 خشت, 6 پیک, 9 دل, 3 دل, 2 دل, آس خشت",پیک,10 گشنیز,3
